economy;Ano;Gasto_Educacao_pct_PIB;Taxa_Desemprego
Argentina;2010;5.01972007751465;7.714
Argentina;2011;5.29063987731934;7.18
Argentina;2012;5.3458399772644;7.217
Argentina;2013;5.43660020828247;7.1
Argentina;2014;5.36144018173218;7.268
Argentina;2015;5.77611017227173;7.577
Argentina;2016;5.54548978805542;8.088
Argentina;2017;5.45432996749878;8.347
Argentina;2018;4.87773990631104;9.22
Argentina;2019;4.77165985107422;9.843
Argentina;2020;5.27689981460571;11.461
Argentina;2021;4.65393018722534;8.736
Argentina;2022;4.79263019561768;6.805
Argentina;2023;5.00324010848999;6.139
Argentina;2024;;7.15
Argentina;2025;;7.145
Brasil;2010;5.64879989624023;8.42
Brasil;2011;5.73741006851196;7.578
Brasil;2012;5.85510015487671;7.251
Brasil;2013;5.8388500213623;7.071
Brasil;2014;5.94848012924194;6.755
Brasil;2015;6.24105978012085;8.538
Brasil;2016;6.31403017044067;11.58
Brasil;2017;6.32047986984253;12.792
Brasil;2018;6.08851003646851;12.329
Brasil;2019;5.96346998214722;11.936
Brasil;2020;5.7714900970459;13.697
Brasil;2021;5.4969801902771;13.158
Brasil;2022;5.61920976638794;9.231
Brasil;2023;;7.947
Brasil;2024;;6.801
Brasil;2025;;5.97
Chile;2010;4.18953990936279;8.547
Chile;2011;4.06173992156982;7.492
Chile;2012;;6.79
Chile;2013;4.54814004898071;6.361
Chile;2014;4.75168991088867;6.761
Chile;2015;4.90390014648438;6.605
Chile;2016;5.36645984649658;6.926
Chile;2017;5.43278980255127;7.257
Chile;2018;5.473060131073;7.623
Chile;2019;5.62629985809326;7.493
Chile;2020;5.62992000579834;10.934
Chile;2021;5.00225019454956;9.281
Chile;2022;4.91201019287109;8.249
Chile;2023;;9.013
Chile;2024;;8.718
Chile;2025;;8.974
Colômbia;2010;4.83382987976074;11.153
Colômbia;2011;4.46608018875122;10.288
Colômbia;2012;4.37038993835449;9.959
Colômbia;2013;4.87855005264282;9.246
Colômbia;2014;4.62945985794067;8.799
Colômbia;2015;4.47038984298706;8.572
Colômbia;2016;4.47721004486084;8.922
Colômbia;2017;4.53551006317139;9.086
Colômbia;2018;4.44910001754761;9.36
Colômbia;2019;4.51068019866943;10.28
Colômbia;2020;5.26166009902954;15.983
Colômbia;2021;;13.898
Colômbia;2022;;10.541
Colômbia;2023;;9.591
Colômbia;2024;;9.619
Colômbia;2025;;8.29
México;2010;4.93697023391724;5.303
México;2011;4.9040699005127;5.175
México;2012;4.88349008560181;4.892
México;2013;4.50858020782471;4.921
México;2014;5.06807994842529;4.819
México;2015;5.05087995529175;4.311
México;2016;4.75795984268188;3.853
México;2017;4.39752006530762;3.419
México;2018;4.13944005966187;3.275
México;2019;;3.477
México;2020;4.4996600151062;4.44
México;2021;4.23823976516724;4.019
México;2022;4.05987977981567;3.256
México;2023;;2.765
México;2024;;2.678
México;2025;;2.673
