economy;Ano;Gasto_Educacao_pct_PIB;Taxa_Desemprego
Argentina;2000;4.58030986785889;15.0
Argentina;2001;4.833740234375;17.32
Argentina;2002;4.01734018325806;19.59
Argentina;2003;3.53504991531372;15.36
Argentina;2004;3.48652005195618;13.522
Argentina;2005;3.86000990867615;11.506
Argentina;2006;4.12821006774902;10.078
Argentina;2007;4.46260976791382;8.47
Argentina;2008;4.84438991546631;7.837
Argentina;2009;5.53105020523071;8.645
Argentina;2010;5.01972007751465;7.714
Argentina;2011;5.29063987731934;7.18
Argentina;2012;5.3458399772644;7.217
Argentina;2013;5.43660020828247;7.1
Argentina;2014;5.36144018173218;7.268
Argentina;2015;5.77611017227173;7.577
Argentina;2016;5.54548978805542;8.088
Argentina;2017;5.45432996749878;8.347
Argentina;2018;4.87773990631104;9.22
Argentina;2019;4.77165985107422;9.843
Argentina;2020;5.27689981460571;11.461
Argentina;2021;4.65393018722534;8.736
Argentina;2022;4.79263019561768;6.805
Argentina;2023;5.00324010848999;6.139
Argentina;2024;;7.15
Argentina;2025;;7.145
Brasil;2000;3.94893002510071;10.889
Brasil;2001;3.84467005729675;10.649
Brasil;2002;3.75037002563477;10.641
Brasil;2003;;11.168
Brasil;2004;3.97448992729187;10.072
Brasil;2005;4.47909021377563;10.551
Brasil;2006;4.87060022354126;9.692
Brasil;2007;4.97426986694336;9.28
Brasil;2008;5.26884984970093;8.268
Brasil;2009;5.46355009078979;9.419
Brasil;2010;5.64879989624023;8.42
Brasil;2011;5.73741006851196;7.578
Brasil;2012;5.85510015487671;7.251
Brasil;2013;5.8388500213623;7.071
Brasil;2014;5.94848012924194;6.755
Brasil;2015;6.24105978012085;8.538
Brasil;2016;6.31403017044067;11.58
Brasil;2017;6.32047986984253;12.792
Brasil;2018;6.08851003646851;12.329
Brasil;2019;5.96346998214722;11.936
Brasil;2020;5.7714900970459;13.697
Brasil;2021;5.4969801902771;13.158
Brasil;2022;5.61920976638794;9.231
Brasil;2023;;7.947
Brasil;2024;;6.801
Brasil;2025;;5.97
Chile;2000;3.75707006454468;10.491
Chile;2001;;10.39
Chile;2002;4.04881000518799;10.168
Chile;2003;3.91868996620178;9.765
Chile;2004;3.54307007789612;10.162
Chile;2005;3.28016996383667;9.34
Chile;2006;3.04014992713928;9.024
Chile;2007;3.2331600189209;8.427
Chile;2008;3.79189991950989;9.285
Chile;2009;4.25475978851318;11.313
Chile;2010;4.18953990936279;8.547
Chile;2011;4.06173992156982;7.492
Chile;2012;;6.79
Chile;2013;4.54814004898071;6.361
Chile;2014;4.75168991088867;6.761
Chile;2015;4.90390014648438;6.605
Chile;2016;5.36645984649658;6.926
Chile;2017;5.43278980255127;7.257
Chile;2018;5.473060131073;7.623
Chile;2019;5.62629985809326;7.493
Chile;2020;5.62992000579834;10.934
Chile;2021;5.00225019454956;9.281
Chile;2022;4.91201019287109;8.249
Chile;2023;;9.013
Chile;2024;;8.718
Chile;2025;;8.974
Colômbia;2000;3.5112099647522;20.52
Colômbia;2001;3.70867991447449;15.04
Colômbia;2002;4.26812982559204;14.481
Colômbia;2003;4.32513999938965;13.221
Colômbia;2004;4.07934999465942;13.717
Colômbia;2005;4.02098989486694;11.062
Colômbia;2006;3.91671991348267;11.088
Colômbia;2007;4.08301019668579;11.204
Colômbia;2008;3.9387800693512;11.273
Colômbia;2009;4.77651977539062;12.066
Colômbia;2010;4.83382987976074;11.153
Colômbia;2011;4.46608018875122;10.288
Colômbia;2012;4.37038993835449;9.959
Colômbia;2013;4.87855005264282;9.246
Colômbia;2014;4.62945985794067;8.799
Colômbia;2015;4.47038984298706;8.572
Colômbia;2016;4.47721004486084;8.922
Colômbia;2017;4.53551006317139;9.086
Colômbia;2018;4.44910001754761;9.36
Colômbia;2019;4.51068019866943;10.28
Colômbia;2020;5.26166009902954;15.983
Colômbia;2021;;13.898
Colômbia;2022;;10.541
Colômbia;2023;;9.591
Colômbia;2024;;9.619
Colômbia;2025;;8.29
México;2000;3.80870008468628;2.646
México;2001;4.0313401222229;2.627
México;2002;4.24307012557983;3.003
México;2003;4.83262014389038;3.455
México;2004;4.51204013824463;3.937
México;2005;4.63395023345947;3.558
México;2006;4.49317979812622;3.566
México;2007;4.47919988632202;3.628
México;2008;4.60607004165649;3.874
México;2009;4.94934988021851;5.356
México;2010;4.93697023391724;5.303
México;2011;4.9040699005127;5.175
México;2012;4.88349008560181;4.892
México;2013;4.50858020782471;4.921
México;2014;5.06807994842529;4.819
México;2015;5.05087995529175;4.311
México;2016;4.75795984268188;3.853
México;2017;4.39752006530762;3.419
México;2018;4.13944005966187;3.275
México;2019;;3.477
México;2020;4.4996600151062;4.44
México;2021;4.23823976516724;4.019
México;2022;4.05987977981567;3.256
México;2023;;2.765
México;2024;;2.678
México;2025;;2.673
